"net_no","wt","tl","sex"
7,12.6,11.2,"F"
7,11.3,10.8,"M"
7,13.4,12.6,"F"
3,16.6,12.2,"F"
3,18.3,12.6,"F"
4,8.6,10.2,"F"
4,9.2,10.1,"M"
4,9.1,10.2,"M"
4,10,10.1,"F"
4,8.7,9,"F"
4,11.9,11.5,"F"
4,NA,9.9,"F"
4,13.9,11.3,"F"
2,3.4,7.1,"F"
3,16.5,12.4,"F"
3,17.2,13.1,"F"
3,17.2,12.2,"F"
1,3.4,7.5,"F"
2,9.3,9.9,"M"
2,9.6,10,"M"
2,15.5,12.3,"F"
4,2.4,6.6,"F"
4,1.6,5.7,"F"
2,10.2,10.8,"M"
3,20.7,13.6,"F"
3,15.7,11.9,"F"
3,15.5,11.9,"M"
4,1.8,7.1,"F"
1,4.4,7.9,"F"
1,14.7,12.2,"F"
2,10,10.3,"F"
2,10.2,10.7,"F"
2,10,9.9,"F"
2,13.2,11,"F"
2,10.6,10.4,"F"
2,12,10.7,"F"
2,11.8,10.2,"F"
3,17.1,12.4,"F"
3,17.4,12.2,"F"
8,12.3,10.9,"M"
7,19.2,13.5,"F"
7,16,12.6,"F"
8,17.9,13.1,"F"
8,17.2,13,"F"
8,16.4,13.3,"F"
8,8.1,9.3,"M"
8,10.1,10.7,"M"
8,9.2,10.1,"F"
8,9.2,10.3,"M"
8,13.2,11.8,"F"
8,14.4,11.6,"F"
8,14.6,12.2,"F"
8,11.9,10.9,"F"
8,11.3,10.3,"F"
8,14.8,11.7,"F"
8,11.1,10.9,"M"
8,12.9,11.6,"M"
8,10.7,10.8,"M"
8,11.5,11.3,"M"
8,15.2,11.9,"F"
8,14,11.6,"F"
8,11.7,10.4,"F"
8,11.8,11.1,"M"
8,12,10.8,"M"
8,8.2,9.6,"M"
8,7.9,9.7,"M"
8,12.7,10.7,"M"
8,16.9,12.9,"F"
8,16.8,12.7,"F"
8,11.2,10.6,"M"
8,12.2,10.8,"F"
8,9.2,10.3,"M"
8,12,11.1,"F"
8,11.4,10.8,"F"
8,11.9,10.9,"F"
8,9.7,10.3,"F"
8,12,11.2,"F"
8,11.8,10.8,"M"
7,21.5,13.1,"F"
7,21.7,13.5,"F"
7,20.5,13.6,"F"
7,21,12.8,"M"
7,20.1,13.1,"F"
7,18,12.8,"F"
7,19.8,12.6,"F"
7,18.2,12.4,"F"
7,19.1,12.1,"F"
7,16.7,11.9,"F"
7,20.1,13.1,"F"
7,20.9,13.5,"F"
7,22,13.5,"F"
7,16.9,11.9,"F"
7,15.5,11.7,"F"
7,13.8,11.2,"F"
7,16.1,12.1,"F"
7,16.7,12.7,"F"
7,14,11.9,"M"
7,19,11.9,"F"
7,14.4,11.4,"F"
7,17.6,12.7,"F"
7,19.1,12.6,"F"
2,7.2,9.7,"F"
2,13.9,11.5,"F"
2,6.2,8.7,"M"
3,4,7.4,"M"
3,3.9,8.2,"F"
3,3.8,7.6,"M"
3,2.8,7.1,"F"
3,3.2,6.9,"F"
3,8.9,10.2,"M"
3,3.9,8.2,"F"
3,4.1,8.4,"M"
3,6.5,8.7,"M"
3,4.1,7.9,"F"
3,4.4,8.3,"M"
3,3.8,7.8,"F"
3,4.4,7.6,"F"
3,4,8,"M"
2,9,10.8,"F"
1,5,9,"F"
2,9.2,9.9,"F"
2,15.3,11.7,"F"
2,13.2,11.3,"F"
2,10.3,10.6,"M"
2,9.5,10.3,"M"
2,10.9,10.6,"F"
2,14.1,11.8,"F"
2,11,10.2,"F"
2,11.5,10.8,"F"
2,16.7,12.9,"F"
2,14.8,12.5,"F"
2,13.1,11.7,"F"
2,16.7,12.6,"F"
2,9.6,9.5,"F"
2,12.1,11,"F"
2,13.6,12.1,"F"
2,16.2,12,"F"
4,17.9,13.4,"F"
4,6.1,9.9,"F"
4,11.7,11.5,"F"
4,1.8,6.8,"M"
5,19.9,12.7,"F"
5,14.8,11.8,"F"
5,3.5,8.4,"M"
5,20.3,13.4,"F"
2,14.9,13,"F"
2,14.3,12.4,"F"
2,15.4,12.6,"F"
2,14.3,12.4,"F"
2,9.6,11.1,"M"
2,0.2,10.2,"F"
2,6.9,10.1,"M"
2,5.6,9.7,"F"
2,3,8.1,"F"
2,3.6,9,"F"
3,10.1,10.5,"M"
3,9.6,11.1,"M"
3,13.3,11.7,"F"
5,2.6,9.1,"F"
5,6.4,10.2,"M"
1,9.7,10.3,"M"
1,10.3,10.7,"F"
1,7.8,10,"M"
1,10.6,11,"M"
1,9.1,10.8,"M"
1,7.6,10.5,"M"
1,14.4,12.4,"M"
1,10.8,10.4,"M"
1,10.5,10.1,"M"
1,14.2,12.3,"F"
1,9.9,10,"M"
1,9.6,10.5,"M"
1,10.4,11.4,"M"
1,8.2,10.1,"M"
1,8.5,11.1,"M"
1,9.6,11.3,"M"
1,15.7,13.3,"F"
1,10.1,10.2,"F"
1,12.3,11.7,"F"
1,9.3,10.5,"M"
1,8.2,10.1,"M"
1,9,10.1,"M"
1,7.5,10.1,"M"
1,13.2,11,"F"
1,7.6,10,"M"
1,8.9,10.2,"M"
1,11.3,11.8,"M"
1,13.2,11.3,"F"
1,10.6,11.2,"M"
1,12.9,11.4,"F"
1,14.1,11.8,"F"
1,14.1,12.1,"F"
1,8.3,10,"M"
1,8.7,10.6,"M"
1,8.7,10.1,"M"
1,8.1,10.1,"M"
1,16.6,12.9,"F"
1,9.8,10.9,"M"
1,8.4,10.4,"M"
1,9.6,11.2,"M"
1,13.3,12.5,"F"
1,8.1,10.6,"M"
1,12.4,11.5,"M"
1,9.2,10.4,"M"
1,10.4,11.3,"M"
1,10.2,11,"M"
1,8.8,10.5,"M"
1,7.7,10.3,"M"
1,8.2,10.2,"M"
1,7.5,10,"M"
1,6.9,9.9,"M"
1,8.3,10.1,"M"
1,10.1,10.9,"M"
1,9.8,10.9,"M"
1,11.7,12.3,"M"
1,17.7,13,"F"
3,12.2,11.2,"M"
3,10.8,10.5,"M"
3,7.9,10.7,"M"
3,10.3,10.9,"M"
3,8.9,10.4,"M"
3,8.4,9.9,"F"
3,8.9,10.5,"M"
3,11.4,11.4,"M"
3,11.7,11.4,"F"
3,12.5,10.9,"F"
3,8.5,10.4,"M"
3,11.5,11.7,"F"
1,21.4,14.3,"F"
1,18.3,12.6,"F"
1,17.9,12.8,"F"
1,15.8,13.1,"F"
1,12.2,11.6,"F"
1,11.9,11.4,"F"
1,12.3,11,"F"
2,11.4,11.8,"M"
2,11.4,11.5,"F"
